method,x,xq,approx,reference,signed_error,abs_error,rel_error,terms,muls,divs,shifts,adds,saturations,max_abs_intermediate_q,max_abs_intermediate_real,reduction_steps
direct_t20_rne,-8.59,-144116285,3.61272209883,-0.999814043912,4.61253614274,4.61253614274,4.61339403144,20,19,19,0,19,7,6148961496,366.506665707,0
adaptive_rne,-8.59,-144116285,3.60103785992,-0.999814043912,4.60085190383,4.60085190383,4.60170761937,32,31,31,0,31,7,6148961496,366.506665707,0
divfirst_t12_rne,-8.59,-144116285,10.1505303979,-0.999814043912,11.1503444418,11.1503444418,11.1524183019,12,11,11,0,11,5,3806109751,226.861819685,0
rr_ln2_t12,-8.59,-144116285,-0.999814033508,-0.999814043912,1.04040440707e-08,1.04040440707e-08,1.04059791259e-08,6,7,6,1,7,0,16774096,0.999814033508,1
rr_ln2_adaptive,-8.59,-144116285,-0.999814033508,-0.999814043912,1.04040440707e-08,1.04040440707e-08,1.04059791259e-08,6,7,6,1,7,0,16774096,0.999814033508,1
halving_t12,-8.59,-144116285,-0.999814033508,-0.999814043912,1.04040440707e-08,1.04040440707e-08,1.04059791259e-08,6,11,6,10,10,0,72058143,4.29500001669,5
halving_adaptive,-8.59,-144116285,-0.999814033508,-0.999814043912,1.04040440707e-08,1.04040440707e-08,1.04059791259e-08,6,11,6,10,10,0,72058143,4.29500001669,5
fine_ln2_2_t12,-8.59,-144116285,-0.999814033508,-0.999814043912,1.04040440707e-08,1.04040440707e-08,1.04059791259e-08,4,5,4,1,5,0,25557610,1.52335226536,1
fine_ln2_4_t12,-8.59,-144116285,-0.999814033508,-0.999814043912,1.04040440707e-08,1.04040440707e-08,1.04059791259e-08,4,5,4,1,5,0,25557610,1.52335226536,1
fine_ln2_8_t12,-8.59,-144116285,-0.999814033508,-0.999814043912,1.04040440707e-08,1.04040440707e-08,1.04059791259e-08,3,4,3,1,4,0,25557612,1.52335238457,1
fine_ln2_16_t12,-8.59,-144116285,-0.999814033508,-0.999814043912,1.04040440707e-08,1.04040440707e-08,1.04059791259e-08,3,4,3,1,4,0,25557461,1.52334338427,1
fine_ln2_32_t12,-8.59,-144116285,-0.999814033508,-0.999814043912,1.04040440707e-08,1.04040440707e-08,1.04059791259e-08,3,4,3,1,4,0,25557763,1.52336138487,1
fine_ln2_64_t12,-8.59,-144116285,-0.999814033508,-0.999814043912,1.04040440707e-08,1.04040440707e-08,1.04059791259e-08,2,3,2,1,3,0,25557159,1.52332538366,1
direct_t12_trunc,-8.58,-143948513,6.27694374323,-0.999812175023,7.27675591825,7.27675591825,7.27812293153,12,11,11,0,11,7,6141803215,366.07999891,0
direct_t12_rne,-8.58,-143948513,6.27694386244,-0.999812175023,7.27675603746,7.27675603746,7.27812305076,12,11,11,0,11,7,6141803224,366.079999447,0
direct_t16_rne,-8.58,-143948513,3.80786556005,-0.999812175023,4.80767773508,4.80767773508,4.80858090668,16,15,15,0,15,7,6141803224,366.079999447,0
direct_t20_rne,-8.58,-143948513,3.53247070312,-0.999812175023,4.53228287815,4.53228287815,4.533134314,20,19,19,0,19,7,6141803224,366.079999447,0
adaptive_rne,-8.58,-143948513,3.52094489336,-0.999812175023,4.52075706838,4.52075706838,4.52160633899,32,31,31,0,31,7,6141803224,366.079999447,0
divfirst_t12_rne,-8.58,-143948513,10.3543999195,-0.999812175023,11.3542120945,11.3542120945,11.3563450998,12,11,11,0,11,5,3788417260,225.807265043,0
rr_ln2_t12,-8.58,-143948513,-0.999812185764,-0.999812175023,-1.07417190698e-08,1.07417190698e-08,1.07437370119e-08,6,7,6,1,7,0,16774065,0.999812185764,1
rr_ln2_adaptive,-8.58,-143948513,-0.999812185764,-0.999812175023,-1.07417190698e-08,1.07417190698e-08,1.07437370119e-08,6,7,6,1,7,0,16774065,0.999812185764,1
halving_t12,-8.58,-143948513,-0.999812185764,-0.999812175023,-1.07417190698e-08,1.07417190698e-08,1.07437370119e-08,6,11,6,10,10,0,71974257,4.29000002146,5
halving_adaptive,-8.58,-143948513,-0.999812185764,-0.999812175023,-1.07417190698e-08,1.07417190698e-08,1.07437370119e-08,6,11,6,10,10,0,71974257,4.29000002146,5
fine_ln2_2_t12,-8.58,-143948513,-0.999812185764,-0.999812175023,-1.07417190698e-08,1.07417190698e-08,1.07437370119e-08,5,6,5,1,6,0,25814471,1.53866237402,1
fine_ln2_4_t12,-8.58,-143948513,-0.999812185764,-0.999812175023,-1.07417190698e-08,1.07417190698e-08,1.07437370119e-08,5,6,5,1,6,0,25814471,1.53866237402,1
fine_ln2_8_t12,-8.58,-143948513,-0.999812185764,-0.999812175023,-1.07417190698e-08,1.07417190698e-08,1.07437370119e-08,2,3,2,1,3,0,25814470,1.53866231441,1
fine_ln2_16_t12,-8.58,-143948513,-0.999812185764,-0.999812175023,-1.07417190698e-08,1.07417190698e-08,1.07437370119e-08,2,3,2,1,3,0,25814317,1.5386531949,1
fine_ln2_32_t12,-8.58,-143948513,-0.999812185764,-0.999812175023,-1.07417190698e-08,1.07417190698e-08,1.07437370119e-08,2,3,2,1,3,0,25814623,1.53867143393,1
fine_ln2_64_t12,-8.58,-143948513,-0.999812185764,-0.999812175023,-1.07417190698e-08,1.07417190698e-08,1.07437370119e-08,2,3,2,1,3,0,25814012,1.53863501549,1
direct_t12_trunc,-8.57,-143780741,6.18537783623,-0.99981028735,7.18518812358,7.18518812358,7.18655150331,12,11,11,0,11,7,6134644943,365.653332651,0
direct_t12_rne,-8.57,-143780741,6.18537801504,-0.99981028735,7.18518830239,7.18518830239,7.18655168215,12,11,11,0,11,7,6134644952,365.653333187,0
direct_t16_rne,-8.57,-143780741,3.72531300783,-0.99981028735,4.72512329518,4.72512329518,4.72601988094,16,15,15,0,15,7,6134644952,365.653333187,0
direct_t20_rne,-8.57,-143780741,3.45231646299,-0.99981028735,4.45212675034,4.45212675034,4.45297153537,20,19,19,0,19,7,6134644952,365.653333187,0
adaptive_rne,-8.57,-143780741,3.44094705582,-0.99981028735,4.44075734317,4.44075734317,4.44159997087,32,31,31,0,31,7,6134644952,365.653333187,0
divfirst_t12_rne,-8.57,-143780741,10.558082819,-0.99981028735,11.5578931063,11.5578931063,11.5600862009,12,11,11,0,11,5,3770786491,224.75638932,0
rr_ln2_t12,-8.57,-143780741,-0.999810278416,-0.99981028735,8.93450824435e-09,8.93450824435e-09,8.93620355521e-09,6,7,6,1,7,0,16774033,0.999810278416,1
rr_ln2_adaptive,-8.57,-143780741,-0.999810278416,-0.99981028735,8.93450824435e-09,8.93450824435e-09,8.93620355521e-09,6,7,6,1,7,0,16774033,0.999810278416,1
halving_t12,-8.57,-143780741,-0.999810278416,-0.99981028735,8.93450824435e-09,8.93450824435e-09,8.93620355521e-09,6,11,6,10,10,0,71890371,4.28500002623,5
halving_adaptive,-8.57,-143780741,-0.999810278416,-0.99981028735,8.93450824435e-09,8.93450824435e-09,8.93620355521e-09,6,11,6,10,10,0,71890371,4.28500002623,5
fine_ln2_2_t12,-8.57,-143780741,-0.999810278416,-0.99981028735,8.93450824435e-09,8.93450824435e-09,8.93620355521e-09,5,6,5,1,6,0,26073910,1.55412614346,1
fine_ln2_4_t12,-8.57,-143780741,-0.999810278416,-0.99981028735,8.93450824435e-09,8.93450824435e-09,8.93620355521e-09,4,5,4,1,5,0,26073909,1.55412608385,1
fine_ln2_8_t12,-8.57,-143780741,-0.999810278416,-0.99981028735,8.93450824435e-09,8.93450824435e-09,8.93620355521e-09,3,4,3,1,4,0,26073908,1.55412602425,1
fine_ln2_16_t12,-8.57,-143780741,-0.999810278416,-0.99981028735,8.93450824435e-09,8.93450824435e-09,8.93620355521e-09,3,4,3,1,4,0,26073754,1.55411684513,1
fine_ln2_32_t12,-8.57,-143780741,-0.999810278416,-0.99981028735,8.93450824435e-09,8.93450824435e-09,8.93620355521e-09,3,4,3,1,4,0,26074063,1.55413526297,1
fine_ln2_64_t12,-8.57,-143780741,-0.999810278416,-0.99981028735,8.93450824435e-09,8.93450824435e-09,8.93620355521e-09,2,3,2,1,3,0,26073449,1.55409866571,1
direct_t12_trunc,-8.56,-143612969,6.09394150972,-0.999808380706,7.09374989043,7.09374989043,7.09510945029,12,11,11,0,11,7,6127486671,365.226666391,0
direct_t12_rne,-8.56,-143612969,6.09394168854,-0.999808380706,7.09375006924,7.09375006924,7.09510962914,12,11,11,0,11,7,6127486680,365.226666927,0
direct_t16_rne,-8.56,-143612969,3.64287549257,-0.999808380706,4.64268387328,4.64268387328,4.64357367159,16,15,15,0,15,7,6127486680,365.226666927,0
direct_t20_rne,-8.56,-143612969,3.37225955725,-0.999808380706,4.37206793795,4.37206793795,4.37290587109,20,19,19,0,19,7,6127486680,365.226666927,0
adaptive_rne,-8.56,-143612969,3.3610445857,-0.999808380706,4.36085296641,4.36085296641,4.36168875013,32,31,31,0,31,7,6127486680,365.226666927,0
divfirst_t12_rne,-8.56,-143612969,10.7615772486,-0.999808380706,11.7613856293,11.7613856293,11.7636397696,12,11,11,0,11,5,3753217353,223.70918709,0
rr_ln2_t12,-8.56,-143612969,-0.999808371067,-0.999808380706,9.63931245934e-09,9.63931245934e-09,9.64115989159e-09,6,7,6,1,7,0,16774001,0.999808371067,1
rr_ln2_adaptive,-8.56,-143612969,-0.999808371067,-0.999808380706,9.63931245934e-09,9.63931245934e-09,9.64115989159e-09,6,7,6,1,7,0,16774001,0.999808371067,1
halving_t12,-8.56,-143612969,-0.999808371067,-0.999808380706,9.63931245934e-09,9.63931245934e-09,9.64115989159e-09,6,11,6,10,10,0,71806485,4.28000003099,5
halving_adaptive,-8.56,-143612969,-0.999808371067,-0.999808380706,9.63931245934e-09,9.63931245934e-09,9.64115989159e-09,6,11,6,10,10,0,71806485,4.28000003099,5
fine_ln2_2_t12,-8.56,-143612969,-0.999808371067,-0.999808380706,9.63931245934e-09,9.63931245934e-09,9.64115989159e-09,5,6,5,1,6,0,26335955,1.5697452426,1
fine_ln2_4_t12,-8.56,-143612969,-0.999808371067,-0.999808380706,9.63931245934e-09,9.63931245934e-09,9.64115989159e-09,4,5,4,1,5,0,26335958,1.56974542141,1
fine_ln2_8_t12,-8.56,-143612969,-0.999808371067,-0.999808380706,9.63931245934e-09,9.63931245934e-09,9.64115989159e-09,3,4,3,1,4,0,26335955,1.5697452426,1
fine_ln2_16_t12,-8.56,-143612969,-0.999808371067,-0.999808380706,9.63931245934e-09,9.63931245934e-09,9.64115989159e-09,3,4,3,1,4,0,26335799,1.56973594427,1
fine_ln2_32_t12,-8.56,-143612969,-0.999808371067,-0.999808380706,9.63931245934e-09,9.63931245934e-09,9.64115989159e-09,2,3,2,1,3,0,26336112,1.56975460052,1
fine_ln2_64_t12,-8.56,-143612969,-0.999808371067,-0.999808380706,9.63931245934e-09,9.63931245934e-09,9.64115989159e-09,2,3,2,1,3,0,26335491,1.56971758604,1
direct_t12_trunc,-8.55,-143445197,6.00263470411,-0.9998064549,7.00244115901,7.00244115901,7.00379670954,12,11,11,0,11,7,6120328399,364.800000131,0
direct_t12_rne,-8.55,-143445197,6.00263482332,-0.9998064549,7.00244127822,7.00244127822,7.00379682878,12,11,11,0,11,7,6120328408,364.800000668,0
direct_t16_rne,-8.55,-143445197,3.56055295467,-0.9998064549,4.56035940957,4.56035940957,4.56124221565,16,15,15,0,15,7,6120328408,364.800000668,0
direct_t20_rne,-8.55,-143445197,3.29229980707,-0.9998064549,4.29210626197,4.29210626197,4.29293713892,20,19,19,0,19,7,6120328408,364.800000668,0
adaptive_rne,-8.55,-143445197,3.28123742342,-0.9998064549,4.28104387832,4.28104387832,4.28187261378,32,31,31,0,31,7,6120328408,364.800000668,0
divfirst_t12_rne,-8.55,-143445197,10.9648836255,-0.9998064549,11.9646900804,11.9646900804,11.9670062358,12,11,11,0,11,5,3735709679,222.665648401,0
rr_ln2_t12,-8.55,-143445197,-0.999806463718,-0.9998064549,-8.8179723523e-09,8.8179723523e-09,8.81967935802e-09,6,7,6,1,7,0,16773969,0.999806463718,1
rr_ln2_adaptive,-8.55,-143445197,-0.999806463718,-0.9998064549,-8.8179723523e-09,8.8179723523e-09,8.81967935802e-09,6,7,6,1,7,0,16773969,0.999806463718,1
halving_t12,-8.55,-143445197,-0.999806463718,-0.9998064549,-8.8179723523e-09,8.8179723523e-09,8.81967935802e-09,6,11,6,10,10,0,71722599,4.27500003576,5
halving_adaptive,-8.55,-143445197,-0.999806463718,-0.9998064549,-8.8179723523e-09,8.8179723523e-09,8.81967935802e-09,6,11,6,10,10,0,71722599,4.27500003576,5
fine_ln2_2_t12,-8.55,-143445197,-0.999806463718,-0.9998064549,-8.8179723523e-09,8.8179723523e-09,8.81967935802e-09,5,6,5,1,6,0,26600637,1.58552151918,1
fine_ln2_4_t12,-8.55,-143445197,-0.999806463718,-0.9998064549,-8.8179723523e-09,8.8179723523e-09,8.81967935802e-09,4,5,4,1,5,0,26600638,1.58552157879,1
fine_ln2_8_t12,-8.55,-143445197,-0.999806463718,-0.9998064549,-8.8179723523e-09,8.8179723523e-09,8.81967935802e-09,4,5,4,1,5,0,26600637,1.58552151918,1
fine_ln2_16_t12,-8.55,-143445197,-0.999806463718,-0.9998064549,-8.8179723523e-09,8.8179723523e-09,8.81967935802e-09,3,4,3,1,4,0,26600480,1.58551216125,1
fine_ln2_32_t12,-8.55,-143445197,-0.999806463718,-0.9998064549,-8.8179723523e-09,8.8179723523e-09,8.81967935802e-09,3,4,3,1,4,0,26600793,1.58553081751,1
fine_ln2_64_t12,-8.55,-143445197,-0.999806463718,-0.9998064549,-8.8179723523e-09,8.8179723523e-09,8.81967935802e-09,2,3,2,1,3,0,26600169,1.58549362421,1
direct_t12_trunc,-8.54,-143277425,5.91145730019,-0.99980450974,6.91126180993,6.91126180993,6.91261315847,12,11,11,0,11,7,6113170127,364.373333871,0
direct_t12_rne,-8.54,-143277425,5.9114574194,-0.99980450974,6.91126192914,6.91126192914,6.9126132777,12,11,11,0,11,7,6113170136,364.373334408,0
direct_t16_rne,-8.54,-143277425,3.47834515572,-0.99980450974,4.47814966546,4.47814966546,4.47902527127,16,15,15,0,15,7,6113170136,364.373334408,0
direct_t20_rne,-8.54,-143277425,3.21243739128,-0.99980450974,4.21224190102,4.21224190102,4.21306551429,20,19,19,0,19,7,6113170136,364.373334408,0
adaptive_rne,-8.54,-143277425,3.20152562857,-0.99980450974,4.20133013831,4.20133013831,4.20215161802,32,31,31,0,31,7,6113170136,364.373334408,0
divfirst_t12_rne,-8.54,-143277425,11.1680009365,-0.99980450974,12.1678054462,12.1678054462,12.1701845988,12,11,11,0,11,5,3718263343,221.625765741,0
rr_ln2_t12,-8.54,-143277425,-0.999804496765,-0.99980450974,1.29747163014e-08,1.29747163014e-08,1.2977253228e-08,6,7,6,1,7,0,16773936,0.999804496765,1
rr_ln2_adaptive,-8.54,-143277425,-0.999804496765,-0.99980450974,1.29747163014e-08,1.29747163014e-08,1.2977253228e-08,6,7,6,1,7,0,16773936,0.999804496765,1
halving_t12,-8.54,-143277425,-0.999804496765,-0.99980450974,1.29747163014e-08,1.29747163014e-08,1.2977253228e-08,6,11,6,10,10,0,71638713,4.27000004053,5
halving_adaptive,-8.54,-143277425,-0.999804496765,-0.99980450974,1.29747163014e-08,1.29747163014e-08,1.2977253228e-08,6,11,6,10,10,0,71638713,4.27000004053,5
fine_ln2_2_t12,-8.54,-143277425,-0.999804496765,-0.99980450974,1.29747163014e-08,1.29747163014e-08,1.2977253228e-08,5,6,5,1,6,0,26867976,1.60145616531,1
fine_ln2_4_t12,-8.54,-143277425,-0.999804496765,-0.99980450974,1.29747163014e-08,1.29747163014e-08,1.2977253228e-08,4,5,4,1,5,0,26867978,1.60145628452,1
fine_ln2_8_t12,-8.54,-143277425,-0.999804496765,-0.99980450974,1.29747163014e-08,1.29747163014e-08,1.2977253228e-08,4,5,4,1,5,0,26867979,1.60145634413,1
fine_ln2_16_t12,-8.54,-143277425,-0.999804496765,-0.99980450974,1.29747163014e-08,1.29747163014e-08,1.2977253228e-08,2,3,2,1,3,0,26867820,1.60144686699,1
fine_ln2_32_t12,-8.54,-143277425,-0.999804496765,-0.99980450974,1.29747163014e-08,1.29747163014e-08,1.2977253228e-08,2,3,2,1,3,0,26868135,1.60146564245,1
fine_ln2_64_t12,-8.54,-143277425,-0.999804496765,-0.99980450974,1.29747163014e-08,1.29747163014e-08,1.2977253228e-08,2,3,2,1,3,0,26867503,1.60142797232,1
direct_t12_trunc,-8.53,-143109652,5.82040864229,-0.99980254503,6.82021118732,6.82021118732,6.82155813788,12,11,11,0,11,7,6106011812,363.946665049,0
direct_t12_rne,-8.53,-143109652,5.8204087019,-0.99980254503,6.82021124693,6.82021124693,6.8215581975,12,11,11,0,11,7,6106011822,363.946665645,0
direct_t16_rne,-8.53,-143109652,3.39625149965,-0.99980254503,4.39605404468,4.39605404468,4.39692223883,16,15,15,0,15,7,6106011822,363.946665645,0
direct_t20_rne,-8.53,-143109652,3.13267159462,-0.99980254503,4.13247413965,4.13247413965,4.13329027836,20,19,19,0,19,7,6106011822,363.946665645,0
adaptive_rne,-8.53,-143109652,3.1219086051,-0.99980254503,4.12171115013,4.12171115013,4.12252516321,32,31,31,0,31,7,6106011822,363.946665645,0
divfirst_t12_rne,-8.53,-143109652,11.3709307313,-0.99980254503,12.3707332763,12.3707332763,12.3731764215,12,11,11,0,11,5,3700878034,220.589520574,0
rr_ln2_t12,-8.53,-143109652,-0.999802529812,-0.99980254503,1.52182161317e-08,1.52182161317e-08,1.52212216376e-08,6,7,6,1,7,0,16773903,0.999802529812,1
rr_ln2_adaptive,-8.53,-143109652,-0.999802529812,-0.99980254503,1.52182161317e-08,1.52182161317e-08,1.52212216376e-08,6,7,6,1,7,0,16773903,0.999802529812,1
halving_t12,-8.53,-143109652,-0.999802529812,-0.99980254503,1.52182161317e-08,1.52182161317e-08,1.52212216376e-08,6,11,6,10,10,0,71554826,4.26499998569,5
halving_adaptive,-8.53,-143109652,-0.999802529812,-0.99980254503,1.52182161317e-08,1.52182161317e-08,1.52212216376e-08,6,11,6,10,10,0,71554826,4.26499998569,5
fine_ln2_2_t12,-8.53,-143109652,-0.999802529812,-0.99980254503,1.52182161317e-08,1.52182161317e-08,1.52212216376e-08,5,6,5,1,6,0,27138005,1.61755114794,1
fine_ln2_4_t12,-8.53,-143109652,-0.999802529812,-0.99980254503,1.52182161317e-08,1.52182161317e-08,1.52212216376e-08,4,5,4,1,5,0,27138008,1.61755132675,1
fine_ln2_8_t12,-8.53,-143109652,-0.999802529812,-0.99980254503,1.52182161317e-08,1.52182161317e-08,1.52212216376e-08,4,5,4,1,5,0,27138008,1.61755132675,1
fine_ln2_16_t12,-8.53,-143109652,-0.999802529812,-0.99980254503,1.52182161317e-08,1.52182161317e-08,1.52212216376e-08,2,3,2,1,3,0,27137846,1.6175416708,1
fine_ln2_32_t12,-8.53,-143109652,-0.999802529812,-0.99980254503,1.52182161317e-08,1.52182161317e-08,1.52212216376e-08,2,3,2,1,3,0,27138165,1.61756068468,1
fine_ln2_64_t12,-8.53,-143109652,-0.999802529812,-0.99980254503,1.52182161317e-08,1.52182161317e-08,1.52212216376e-08,2,3,2,1,3,0,27137529,1.61752277613,1
direct_t12_trunc,-8.52,-142941880,5.72948986292,-0.999800560575,6.72929042349,6.72929042349,6.73063277703,12,11,11,0,11,7,6098853540,363.519998789,0
direct_t12_rne,-8.52,-142941880,5.72948992252,-0.999800560575,6.7292904831,6.7292904831,6.73063283664,12,11,11,0,11,7,6098853550,363.519999385,0
direct_t16_rne,-8.52,-142941880,3.31427288055,-0.999800560575,4.31407344113,4.31407344113,4.31493400909,16,15,15,0,15,7,6098853550,363.519999385,0
direct_t20_rne,-8.52,-142941880,3.05300348997,-0.999800560575,4.05280405055,4.05280405055,4.05361250069,20,19,19,0,19,7,6098853550,363.519999385,0
adaptive_rne,-8.52,-142941880,3.04238724709,-0.999800560575,4.04218780766,4.04218780766,4.04299414009,32,31,31,0,31,7,6098853550,363.519999385,0
divfirst_t12_rne,-8.52,-142941880,11.573669672,-0.999800560575,12.5734702326,12.5734702326,12.5759783785,12,11,11,0,11,5,3683553900,219.556921721,0
rr_ln2_t12,-8.52,-142941880,-0.999800562859,-0.999800560575,-2.28394569923e-09,2.28394569923e-09,2.28440129892e-09,6,7,6,1,7,0,16773870,0.999800562859,1
rr_ln2_adaptive,-8.52,-142941880,-0.999800562859,-0.999800560575,-2.28394569923e-09,2.28394569923e-09,2.28440129892e-09,6,7,6,1,7,0,16773870,0.999800562859,1
halving_t12,-8.52,-142941880,-0.999800562859,-0.999800560575,-2.28394569923e-09,2.28394569923e-09,2.28440129892e-09,6,11,6,10,10,0,71470940,4.25999999046,5
halving_adaptive,-8.52,-142941880,-0.999800562859,-0.999800560575,-2.28394569923e-09,2.28394569923e-09,2.28440129892e-09,6,11,6,10,10,0,71470940,4.25999999046,5
fine_ln2_2_t12,-8.52,-142941880,-0.999800562859,-0.999800560575,-2.28394569923e-09,2.28394569923e-09,2.28440129892e-09,5,6,5,1,6,0,27410748,1.63380789757,1
fine_ln2_4_t12,-8.52,-142941880,-0.999800562859,-0.999800560575,-2.28394569923e-09,2.28394569923e-09,2.28440129892e-09,4,5,4,1,5,0,27410748,1.63380789757,1
fine_ln2_8_t12,-8.52,-142941880,-0.999800562859,-0.999800560575,-2.28394569923e-09,2.28394569923e-09,2.28440129892e-09,4,5,4,1,5,0,27410748,1.63380789757,1
fine_ln2_16_t12,-8.52,-142941880,-0.999800562859,-0.999800560575,-2.28394569923e-09,2.28394569923e-09,2.28440129892e-09,3,4,3,1,4,0,27410586,1.63379824162,1
fine_ln2_32_t12,-8.52,-142941880,-0.999800562859,-0.999800560575,-2.28394569923e-09,2.28394569923e-09,2.28440129892e-09,3,4,3,1,4,0,27410908,1.63381743431,1
fine_ln2_64_t12,-8.52,-142941880,-0.999800562859,-0.999800560575,-2.28394569923e-09,2.28394569923e-09,2.28440129892e-09,2,3,2,1,3,0,27410266,1.63377916813,1
direct_t12_trunc,-8.51,-142774108,5.63870018721,-0.999798556175,6.63849874338,6.63849874338,6.6398362974,12,11,11,0,11,7,6091695268,363.093332529,0
direct_t12_rne,-8.51,-142774108,5.63870030642,-0.999798556175,6.63849886259,6.63849886259,6.63983641664,12,11,11,0,11,7,6091695278,363.093333125,0
direct_t16_rne,-8.51,-142774108,3.23240864277,-0.999798556175,4.23220719894,4.23220719894,4.23305992273,16,15,15,0,15,7,6091695278,363.093333125,0
direct_t20_rne,-8.51,-142774108,2.97343254089,-0.999798556175,3.97323109707,3.97323109707,3.9740316412,20,19,19,0,19,7,6091695278,363.093333125,0
adaptive_rne,-8.51,-142774108,2.96296149492,-0.999798556175,3.9627600511,3.9627600511,3.96355848548,32,31,31,0,31,7,6091695278,363.093333125,0
divfirst_t12_rne,-8.51,-142774108,11.7762187123,-0.999798556175,12.7760172685,12.7760172685,12.7785914368,12,11,11,0,11,5,3666290655,218.527952135,0
rr_ln2_t12,-8.51,-142774108,-0.999798536301,-0.999798556175,1.98744286584e-08,1.98744286584e-08,1.98784330459e-08,6,7,6,1,7,0,16773836,0.999798536301,1
rr_ln2_adaptive,-8.51,-142774108,-0.999798536301,-0.999798556175,1.98744286584e-08,1.98744286584e-08,1.98784330459e-08,6,6,5,1,7,0,16773836,0.999798536301,1
halving_t12,-8.51,-142774108,-0.999798536301,-0.999798556175,1.98744286584e-08,1.98744286584e-08,1.98784330459e-08,6,11,6,10,10,0,71387054,4.25499999523,5
halving_adaptive,-8.51,-142774108,-0.999798536301,-0.999798556175,1.98744286584e-08,1.98744286584e-08,1.98784330459e-08,6,11,6,10,10,0,71387054,4.25499999523,5
fine_ln2_2_t12,-8.51,-142774108,-0.999798536301,-0.999798556175,1.98744286584e-08,1.98744286584e-08,1.98784330459e-08,5,6,5,1,6,0,27686228,1.65022778511,1
fine_ln2_4_t12,-8.51,-142774108,-0.999798536301,-0.999798556175,1.98744286584e-08,1.98744286584e-08,1.98784330459e-08,3,4,3,1,4,0,27686231,1.65022796392,1
fine_ln2_8_t12,-8.51,-142774108,-0.999798536301,-0.999798556175,1.98744286584e-08,1.98744286584e-08,1.98784330459e-08,3,4,3,1,4,0,27686231,1.65022796392,1
fine_ln2_16_t12,-8.51,-142774108,-0.999798536301,-0.999798556175,1.98744286584e-08,1.98744286584e-08,1.98784330459e-08,3,4,3,1,4,0,27686069,1.65021830797,1
fine_ln2_32_t12,-8.51,-142774108,-0.999798536301,-0.999798556175,1.98744286584e-08,1.98744286584e-08,1.98784330459e-08,2,3,2,1,3,0,27686391,1.65023750067,1
fine_ln2_64_t12,-8.51,-142774108,-0.999798536301,-0.999798556175,1.98744286584e-08,1.98744286584e-08,1.98784330459e-08,2,3,2,1,3,0,27685743,1.65019887686,1
direct_t12_trunc,-8.5,-142606336,5.54803985357,-0.999796531631,6.5478363852,6.5478363852,6.54916893393,12,11,11,0,11,7,6084536997,362.666666329,0
direct_t12_rne,-8.5,-142606336,5.54803991318,-0.999796531631,6.54783644481,6.54783644481,6.54916899354,12,11,11,0,11,7,6084537006,362.666666865,0
direct_t16_rne,-8.5,-142606336,3.15065854788,-0.999796531631,4.15045507951,4.15045507951,4.1512997377,16,15,15,0,15,7,6084537006,362.666666865,0
direct_t20_rne,-8.5,-142606336,2.89395856857,-0.999796531631,3.8937551002,3.8937551002,3.89454751744,20,19,19,0,19,7,6084537006,362.666666865,0
adaptive_rne,-8.5,-142606336,2.88363075256,-0.999796531631,3.88342728419,3.88342728419,3.88421759961,32,31,31,0,31,7,6084537006,362.666666865,0
divfirst_t12_rne,-8.5,-142606336,11.9785773754,-0.999796531631,12.978373907,12.978373907,12.981015133,12,11,11,0,11,5,3650722197,217.599999726,0
rr_ln2_t12,-8.5,-142606336,-0.999796509743,-0.999796531631,2.18882525438e-08,2.18882525438e-08,2.18927070172e-08,6,7,6,1,7,0,16773802,0.999796509743,1
rr_ln2_adaptive,-8.5,-142606336,-0.999796509743,-0.999796531631,2.18882525438e-08,2.18882525438e-08,2.18927070172e-08,6,6,5,1,7,0,16773802,0.999796509743,1
halving_t12,-8.5,-142606336,-0.999796509743,-0.999796531631,2.18882525438e-08,2.18882525438e-08,2.18927070172e-08,6,11,6,10,10,0,71303168,4.25,5
halving_adaptive,-8.5,-142606336,-0.999796509743,-0.999796531631,2.18882525438e-08,2.18882525438e-08,2.18927070172e-08,6,11,6,10,10,0,71303168,4.25,5
fine_ln2_2_t12,-8.5,-142606336,-0.999796509743,-0.999796531631,2.18882525438e-08,2.18882525438e-08,2.18927070172e-08,6,7,6,1,7,0,27964482,1.66681301594,1
fine_ln2_4_t12,-8.5,-142606336,-0.999796509743,-0.999796531631,2.18882525438e-08,2.18882525438e-08,2.18927070172e-08,3,4,3,1,4,0,27964482,1.66681301594,1
fine_ln2_8_t12,-8.5,-142606336,-0.999796509743,-0.999796531631,2.18882525438e-08,2.18882525438e-08,2.18927070172e-08,3,4,3,1,4,0,27964482,1.66681301594,1
fine_ln2_16_t12,-8.5,-142606336,-0.999796509743,-0.999796531631,2.18882525438e-08,2.18882525438e-08,2.18927070172e-08,3,4,3,1,4,0,27964318,1.66680324078,1
fine_ln2_32_t12,-8.5,-142606336,-0.999796509743,-0.999796531631,2.18882525438e-08,2.18882525438e-08,2.18927070172e-08,3,4,3,1,4,0,27964645,1.66682273149,1
fine_ln2_64_t12,-8.5,-142606336,-0.999796509743,-0.999796531631,2.18882525438e-08,2.18882525438e-08,2.18927070172e-08,2,3,2,1,3,0,27963989,1.66678363085,1
direct_t12_trunc,-8.49,-142438564,5.45750844479,-0.99979448674,6.45730293153,6.45730293153,6.45863026569,12,11,11,0,11,7,6077378725,362.240000069,0
