method,scope,event,value,stddev_percent,source
rr_ln2_adaptive,kernel,instructions,1457295147.0,0.0,results/perf/kernel_rr_ln2_adaptive.csv
rr_ln2_adaptive,kernel,branches,296299844.0,0.0,results/perf/kernel_rr_ln2_adaptive.csv
rr_ln2_adaptive,kernel,branch-misses,567164.0,1.04,results/perf/kernel_rr_ln2_adaptive.csv
rr_ln2_adaptive,kernel,cache-references,273182.0,2.31,results/perf/kernel_rr_ln2_adaptive.csv
rr_ln2_adaptive,kernel,cache-misses,42549.0,2.34,results/perf/kernel_rr_ln2_adaptive.csv
rr_ln2_t12,kernel,cycles,471675947.0,0.15,results/perf/kernel_rr_ln2_t12.csv
rr_ln2_t12,kernel,instructions,1529614089.0,0.0,results/perf/kernel_rr_ln2_t12.csv
rr_ln2_t12,kernel,branches,325813554.0,0.0,results/perf/kernel_rr_ln2_t12.csv
rr_ln2_t12,kernel,branch-misses,446887.0,0.26,results/perf/kernel_rr_ln2_t12.csv
rr_ln2_t12,kernel,cache-references,301433.0,1.29,results/perf/kernel_rr_ln2_t12.csv
rr_ln2_t12,kernel,cache-misses,43888.0,2.58,results/perf/kernel_rr_ln2_t12.csv
