x,libm_expm1f,q24_8,q8_24,q24_minus_libm,q8_minus_libm,q24_abs_err,q8_abs_err,q24_rel_err,q8_rel_err,q24_minus_q8
3.0000000261e-03,3.0045046005e-03,3.9062500000e-03,3.0044913292e-03,9.0174539946e-04,-1.3271346688e-08,9.0174539946e-04,1.3271346688e-08,3.0013114214e-01,4.4171497393e-06,9.0175867081e-04
3.1000000890e-03,3.1048101373e-03,3.9062500000e-03,3.1047463417e-03,8.0143986270e-04,-6.3795596361e-08,8.0143986270e-04,6.3795596361e-08,2.5812846422e-01,2.0547342501e-05,8.0150365829e-04
3.1999999192e-03,3.2051254530e-03,3.9062500000e-03,3.2050609589e-03,7.0112454705e-04,-6.4494088292e-08,7.0112454705e-04,6.4494088292e-08,2.1875104308e-01,2.0122171918e-05,7.0118904114e-04
3.2999999821e-03,3.3054510131e-03,3.9062500000e-03,3.3054351807e-03,6.0079898685e-04,-1.5832483768e-08,6.0079898685e-04,1.5832483768e-08,1.8176005781e-01,4.7898106459e-06,6.0081481934e-04
3.4000000451e-03,3.4057865851e-03,3.9062500000e-03,3.4057497978e-03,5.0046341494e-04,-3.6787241697e-08,5.0046341494e-04,3.6787241697e-08,1.4694502950e-01,1.0801393728e-05,5.0050020218e-04
3.5000001080e-03,3.5061321687e-03,3.9062500000e-03,3.5060644150e-03,4.0011783130e-04,-6.7753717303e-08,4.0011783130e-04,6.7753717303e-08,1.1411944032e-01,1.9324348614e-05,4.0018558502e-04
3.5999999382e-03,3.6064877640e-03,3.9062500000e-03,3.6064386368e-03,2.9976223595e-04,-4.9127265811e-08,2.9976223595e-04,4.9127265811e-08,8.3117499948e-02,1.3621914150e-05,2.9981136322e-04
3.7000000011e-03,3.7068533711e-03,3.9062500000e-03,3.7068128586e-03,1.9939662889e-04,-4.0512531996e-08,1.9939662889e-04,4.0512531996e-08,5.3791344166e-02,1.0929089513e-05,1.9943714142e-04
3.8000000641e-03,3.8072292227e-03,3.9062500000e-03,3.8071870804e-03,9.9020777270e-05,-4.2142346501e-08,9.9020777270e-05,4.2142346501e-08,2.6008618996e-02,1.1069033462e-05,9.9062919617e-05
3.8999998942e-03,3.9076148532e-03,3.9062500000e-03,3.9075613022e-03,-1.3648532331e-06,-5.3551048040e-08,1.3648532331e-06,5.3551048040e-08,3.4928039531e-04,1.3704279809e-05,-1.3113021851e-06
4.0000001900e-03,4.0080109611e-03,3.9062500000e-03,4.0079951286e-03,-1.0176096112e-04,-1.5832483768e-08,1.0176096112e-04,1.5832483768e-08,2.5389391929e-02,3.9502097025e-06,-1.0174512863e-04
4.1000000201e-03,4.1084163822e-03,3.9062500000e-03,4.1084289551e-03,-2.0216638222e-04,1.2572854757e-08,2.0216638222e-04,1.2572854757e-08,4.9207862467e-02,3.0602679999e-06,-2.0217895508e-04
4.1999998502e-03,4.2088320479e-03,3.9062500000e-03,4.2087435722e-03,-3.0258204788e-04,-8.8475644588e-08,3.0258204788e-04,8.8475644588e-08,7.1892164648e-02,2.1021423890e-05,-3.0249357224e-04
4.3000001460e-03,4.3092584237e-03,3.9062500000e-03,4.3092370033e-03,-4.0300842375e-04,-2.1420419216e-08,4.0300842375e-04,2.1420419216e-08,9.3521527946e-02,4.9707900871e-06,-4.0298700333e-04
4.3999999762e-03,4.4096941128e-03,3.9062500000e-03,4.4096708298e-03,-5.0344411284e-04,-2.3283064365e-08,5.0344411284e-04,2.3283064365e-08,1.1416757852e-01,5.2799728110e-06,-5.0342082977e-04
4.4999998063e-03,4.5101400465e-03,3.9062500000e-03,4.5100450516e-03,-6.0389004648e-04,-9.4994902611e-08,6.0389004648e-04,9.4994902611e-08,1.3389606774e-01,2.1062516680e-05,-6.0379505157e-04
4.6000001021e-03,4.6105962247e-03,3.9062500000e-03,4.6105384827e-03,-7.0434622467e-04,-5.7741999626e-08,7.0434622467e-04,5.7741999626e-08,1.5276683867e-01,1.2523760233e-05,-7.0428848267e-04
4.6999999322e-03,4.7110621817e-03,3.9062500000e-03,4.7110319138e-03,-8.0481218174e-04,-3.0267983675e-08,8.0481218174e-04,3.0267983675e-08,1.7083454132e-01,6.4248747549e-06,-8.0478191376e-04
4.8000002280e-03,4.8115388490e-03,3.9062500000e-03,4.8115253448e-03,-9.0528884903e-04,-1.3504177332e-08,9.0528884903e-04,1.3504177332e-08,1.8814954162e-01,2.8066233426e-06,-9.0527534485e-04
4.9000000581e-03,4.9120248295e-03,3.9062500000e-03,4.9119591713e-03,-1.0057748295e-03,-6.5658241510e-08,1.0057748295e-03,6.5658241510e-08,2.0475769043e-01,1.3366838175e-05,-1.0057091713e-03
4.9999998882e-03,5.0125205889e-03,3.9062500000e-03,5.0124526024e-03,-1.1062705889e-03,-6.7986547947e-08,1.1062705889e-03,6.7986547947e-08,2.2070145607e-01,1.3563345419e-05,-1.1062026024e-03
5.1000001840e-03,5.1130275242e-03,3.9062500000e-03,5.1130056381e-03,-1.2067775242e-03,-2.1886080503e-08,1.2067775242e-03,2.1886080503e-08,2.3602014780e-01,4.2804540499e-06,-1.2067556381e-03
5.2000000142e-03,5.2135433070e-03,3.9062500000e-03,5.2134990692e-03,-1.3072933070e-03,-4.4237822294e-08,1.3072933070e-03,4.4237822294e-08,2.5074949861e-01,8.4851744759e-06,-1.3072490692e-03
5.2999998443e-03,5.3140698001e-03,3.9062500000e-03,5.3139925003e-03,-1.4078198001e-03,-7.7299773693e-08,1.4078198001e-03,7.7299773693e-08,2.6492309570e-01,1.4546247257e-05,-1.4077425003e-03
