method,region,points,max_abs_error,mean_abs_error,rmse,saturation_point_rate,max_intermediate_abs,mean_terms
divfirst_t12_rne,positive_gt_0,4000,0.014944094805,0.0010435897133930787,0.0028433978712909635,0.0,53.5832059383,10.846
rr_ln2_t12,full,14001,8.95929262867e-06,1.556944243269413e-07,5.042379746019824e-07,0.0,54.5981521606,5.389257910149275
rr_ln2_t12,near_zero_abs_le_0.05,101,1.03804028921e-07,3.069550553002861e-08,4.012209049339523e-08,0.0,1.05127120018,3.3366336633663365
rr_ln2_t12,core_abs_le_1,2001,2.86377188186e-07,4.767265259491056e-08,6.378540279887267e-08,0.0,2.71828186512,5.318840579710145
rr_ln2_t12,negative_lt_minus_1,9000,7.27522888599e-08,1.544964381134457e-08,1.8156581789066767e-08,0.0,1.41406971216,5.3805555555555555
rr_ln2_t12,positive_gt_0,4000,8.95929262867e-06,5.018071312175211e-07,9.427563631004345e-07,0.0,54.5981521606,5.427
rr_ln2_adaptive,full,14001,8.95929262867e-06,1.556944243269413e-07,5.042379746019824e-07,0.0,54.5981521606,5.389257910149275
rr_ln2_adaptive,near_zero_abs_le_0.05,101,1.03804028921e-07,3.069550553002861e-08,4.012209049339523e-08,0.0,1.05127120018,3.3366336633663365
rr_ln2_adaptive,core_abs_le_1,2001,2.86377188186e-07,4.767265259491056e-08,6.378540279887267e-08,0.0,2.71828186512,5.318840579710145
rr_ln2_adaptive,negative_lt_minus_1,9000,7.27522888599e-08,1.544964381134457e-08,1.8156581789066767e-08,0.0,1.41406971216,5.3805555555555555
rr_ln2_adaptive,positive_gt_0,4000,8.95929262867e-06,5.018071312175211e-07,9.427563631004345e-07,0.0,54.5981521606,5.427
halving_t12,full,14001,5.8489761777e-05,1.4011541631960831e-06,4.769938123673915e-06,0.0,53.5981533527,6.974858938647239
halving_t12,near_zero_abs_le_0.05,101,1.03804028921e-07,3.069550553002861e-08,4.012209049339523e-08,0.0,0.0512712001801,3.3366336633663365
halving_t12,core_abs_le_1,2001,6.31584062827e-07,7.760039561283948e-08,1.1813511160387721e-07,0.0,1.71828186512,6.5922038980509745
halving_t12,negative_lt_minus_1,9000,2.51365047221e-07,2.2036629786331097e-08,3.143807356673244e-08,0.0,5.0,6.999
halving_t12,positive_gt_0,4000,5.8489761777e-05,4.8431890719604095e-06,8.923882133814816e-06,0.0,53.5981533527,7.017
halving_adaptive,full,14001,5.8489761777e-05,1.4011541631960831e-06,4.769938123673915e-06,0.0,53.5981533527,6.974858938647239
halving_adaptive,near_zero_abs_le_0.05,101,1.03804028921e-07,3.069550553002861e-08,4.012209049339523e-08,0.0,0.0512712001801,3.3366336633663365
halving_adaptive,core_abs_le_1,2001,6.31584062827e-07,7.760039561283948e-08,1.1813511160387721e-07,0.0,1.71828186512,6.5922038980509745
halving_adaptive,negative_lt_minus_1,9000,2.51365047221e-07,2.2036629786331097e-08,3.143807356673244e-08,0.0,5.0,6.999
halving_adaptive,positive_gt_0,4000,5.8489761777e-05,4.8431890719604095e-06,8.923882133814816e-06,0.0,53.5981533527,7.017
fine_ln2_2_t12,full,14001,7.28779619408e-06,1.3486052966513534e-07,4.1896471351147644e-07,0.0,54.5981521606,4.4131847725162485
fine_ln2_2_t12,near_zero_abs_le_0.05,101,1.03804028921e-07,3.069550553002861e-08,4.012209049339523e-08,0.0,1.05127120018,3.3366336633663365
fine_ln2_2_t12,core_abs_le_1,2001,3.54448929984e-07,4.309571073299947e-08,5.957675837631767e-08,0.0,2.71828186512,4.455272363818091
fine_ln2_2_t12,negative_lt_minus_1,9000,7.07979019854e-08,1.524121326990106e-08,1.7794731636099292e-08,0.0,1.68163442612,4.408555555555555
fine_ln2_2_t12,positive_gt_0,4000,7.28779619408e-06,4.304708051862068e-07,7.831749901068647e-07,0.0,54.5981521606,4.4135
fine_ln2_4_t12,full,14001,4.5403930784e-06,1.3937136587993235e-07,4.252792954071537e-07,0.0,54.5981502533,3.683165488179416
fine_ln2_4_t12,near_zero_abs_le_0.05,101,1.03804028921e-07,3.069550553002861e-08,4.012209049339523e-08,0.0,1.05127120018,3.3366336633663365
fine_ln2_4_t12,core_abs_le_1,2001,3.54448929984e-07,4.773501888310728e-08,6.550804064085044e-08,0.0,2.71828186512,3.702648675662169
fine_ln2_4_t12,negative_lt_minus_1,9000,7.26472763057e-08,1.53888032519888e-08,1.8045817526358727e-08,0.0,1.83394956589,3.683
fine_ln2_4_t12,positive_gt_0,4000,4.5403930784e-06,4.4479079254378543e-07,7.949226546046413e-07,0.0,54.5981502533,3.679
fine_ln2_8_t12,full,14001,4.47574713291e-06,1.275924520464367e-07,3.8841177296070825e-07,0.0,54.5981502533,3.2398400114277552
fine_ln2_8_t12,near_zero_abs_le_0.05,101,1.01327011594e-07,3.013629776481574e-08,3.849563280797658e-08,0.0,1.91390794516,3.3366336633663365
fine_ln2_8_t12,core_abs_le_1,2001,2.83568418968e-07,4.342554458346987e-08,5.811025431688136e-08,0.0,2.71828186512,3.2438780609695153
fine_ln2_8_t12,negative_lt_minus_1,9000,5.96538611841e-08,1.526627537683408e-08,1.783084028448901e-08,0.0,1.91509312391,3.24
fine_ln2_8_t12,positive_gt_0,4000,4.47574713291e-06,4.043971642387391e-07,7.259283772388067e-07,0.0,54.5981502533,3.23875
